path	experiment	N	type	s	ref	gwas_format
/mnt/lab_data/montgomery/nicolerg/local-eqtl/admixed/annotation/coloc/gtex_gwas/coloc_input	UKB_1160_Sleep_duration	337119	quant	NA	117_admix	pval_only
/mnt/lab_data/montgomery/nicolerg/local-eqtl/admixed/annotation/coloc/gtex_gwas/coloc_input	UKB_1180_Morning_or_evening_person_chronotype	337119	quant	NA	117_admix	pval_only
/mnt/lab_data/montgomery/nicolerg/local-eqtl/admixed/annotation/coloc/gtex_gwas/coloc_input	UKB_1200_Sleeplessness_or_insomnia	337119	quant	NA	117_admix	pval_only
/mnt/lab_data/montgomery/nicolerg/local-eqtl/admixed/annotation/coloc/gtex_gwas/coloc_input	UKB_1807_Fathers_age_at_death	337119	quant	NA	117_admix	pval_only
/mnt/lab_data/montgomery/nicolerg/local-eqtl/admixed/annotation/coloc/gtex_gwas/coloc_input	UKB_20002_1094_self_reported_deep_venous_thrombosis_dvt	337119	cc	0.020073031	117_admix	pval_only
/mnt/lab_data/montgomery/nicolerg/local-eqtl/admixed/annotation/coloc/gtex_gwas/coloc_input	UKB_20002_1111_self_reported_asthma	337119	cc	0.115831502	117_admix	pval_only
/mnt/lab_data/montgomery/nicolerg/local-eqtl/admixed/annotation/coloc/gtex_gwas/coloc_input	UKB_20002_1154_self_reported_irritable_bowel_syndrome	337119	cc	0.023819482	117_admix	pval_only
/mnt/lab_data/montgomery/nicolerg/local-eqtl/admixed/annotation/coloc/gtex_gwas/coloc_input	UKB_20002_1222_self_reported_type_1_diabetes	337119	cc	0.000848365	117_admix	pval_only
/mnt/lab_data/montgomery/nicolerg/local-eqtl/admixed/annotation/coloc/gtex_gwas/coloc_input	UKB_20002_1223_self_reported_type_2_diabetes	337119	cc	0.006327143	117_admix	pval_only
/mnt/lab_data/montgomery/nicolerg/local-eqtl/admixed/annotation/coloc/gtex_gwas/coloc_input	UKB_20002_1225_self_reported_hyperthyroidism_or_thyrotoxicosis	337119	cc	0.007555196	117_admix	pval_only
/mnt/lab_data/montgomery/nicolerg/local-eqtl/admixed/annotation/coloc/gtex_gwas/coloc_input	UKB_20002_1226_self_reported_hypothyroidism_or_myxoedema	337119	cc	0.048576319	117_admix	pval_only
/mnt/lab_data/montgomery/nicolerg/local-eqtl/admixed/annotation/coloc/gtex_gwas/coloc_input	UKB_20002_1243_self_reported_psychological_or_psychiatric_problem	337119	cc	0.000958119	117_admix	pval_only
/mnt/lab_data/montgomery/nicolerg/local-eqtl/admixed/annotation/coloc/gtex_gwas/coloc_input	UKB_20002_1261_self_reported_multiple_sclerosis	337119	cc	0.003642631	117_admix	pval_only
/mnt/lab_data/montgomery/nicolerg/local-eqtl/admixed/annotation/coloc/gtex_gwas/coloc_input	UKB_20002_1262_self_reported_parkinsons_disease	337119	cc	0.001791652	117_admix	pval_only
/mnt/lab_data/montgomery/nicolerg/local-eqtl/admixed/annotation/coloc/gtex_gwas/coloc_input	UKB_20002_1265_self_reported_migraine	337119	cc	0.02968388	117_admix	pval_only
/mnt/lab_data/montgomery/nicolerg/local-eqtl/admixed/annotation/coloc/gtex_gwas/coloc_input	UKB_20002_1289_self_reported_schizophrenia	337119	cc	0.000999647	117_admix	pval_only
/mnt/lab_data/montgomery/nicolerg/local-eqtl/admixed/annotation/coloc/gtex_gwas/coloc_input	UKB_20002_1309_self_reported_osteoporosis	337119	cc	0.015620597	117_admix	pval_only
/mnt/lab_data/montgomery/nicolerg/local-eqtl/admixed/annotation/coloc/gtex_gwas/coloc_input	UKB_20002_1313_self_reported_ankylosing_spondylitis	337119	cc	0.00287139	117_admix	pval_only
/mnt/lab_data/montgomery/nicolerg/local-eqtl/admixed/annotation/coloc/gtex_gwas/coloc_input	UKB_20002_1452_self_reported_eczema_or_dermatitis	337119	cc	0.025860305	117_admix	pval_only
/mnt/lab_data/montgomery/nicolerg/local-eqtl/admixed/annotation/coloc/gtex_gwas/coloc_input	UKB_20002_1453_self_reported_psoriasis	337119	cc	0.011482592	117_admix	pval_only
/mnt/lab_data/montgomery/nicolerg/local-eqtl/admixed/annotation/coloc/gtex_gwas/coloc_input	UKB_20002_1461_self_reported_inflammatory_bowel_disease	337119	cc	0.000382654	117_admix	pval_only
/mnt/lab_data/montgomery/nicolerg/local-eqtl/admixed/annotation/coloc/gtex_gwas/coloc_input	UKB_20002_1462_self_reported_crohns_disease	337119	cc	0.083819067	117_admix	pval_only
/mnt/lab_data/montgomery/nicolerg/local-eqtl/admixed/annotation/coloc/gtex_gwas/coloc_input	UKB_20002_1463_self_reported_ulcerative_colitis	337119	cc	0.005324529	117_admix	pval_only
